"","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Actor"
"1",1,"Cargo","    After an epidemic spread all over Australia, a father searches for someone willing to protect his daughter.",105,"Drama",6.4,65,9255,"Ben Howling","Martin Freeman"
"2",2,"The Greatest Showman","    Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.",105,"Biography",7.8,48,125972,"Michael Gracey","Hugh Jackman"
"3",3,"Thor: Ragnarok","    Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",130,"Action",7.9,74,335592,"Taika Waititi","Chris Hemsworth"
"4",4,"Revenge","    Never take your mistress on an annual guys' getaway, especially one devoted to hunting - a violent lesson for three wealthy married men.",108,"Action",6.3,81,7005,"Coralie Fargeat","Matilda Anna Ingrid Lutz"
"5",5,"Spider-Man: Homecoming","    Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",133,"Action",7.5,73,327039,"Jon Watts","Tom Holland"
"6",6,"Papillon","    A prisoner detained on a remote island plots his escape. A remake of the 1973 film 'Papillon'.",133,"Drama",6.4,46,353,"Michael Noer","Rami Malek"
"7",7,"Jumanji: Welcome to the Jungle","    Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",119,"Action",7,58,165310,"Jake Kasdan","Dwayne Johnson"
"8",8,"Star Wars: Episode VIII - The Last Jedi","    Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",152,"Action",7.3,85,383259,"Rian Johnson","Daisy Ridley"
"9",9,"Baywatch","    Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",116,"Action",5.6,37,104861,"Seth Gordon","Dwayne Johnson"
"10",10,"How to Talk to Girls at Parties","    An alien touring the galaxy breaks away from her group and meets two young inhabitants of the most dangerous place in the universe: the London suburb of Croydon.",102,"Comedy",5.9,47,1662,"John Cameron Mitchell","Elle Fanning"
"11",11,"Guardians of the Galaxy Vol. 2","    The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.",136,"Action",7.7,67,381750,"James Gunn","Chris Pratt"
"12",12,"Justice League","    Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy.",120,"Action",6.7,45,253511,"Zack Snyder","Ben Affleck"
"13",13,"Coco","    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,"Animation",8.5,81,175917,"Lee Unkrich","Anthony Gonzalez"
